Unit,T1,T2,T3,T4,T5
BBMP-Bommanahalli,0.018,0.025,0.074,0.04,0.047
BBMP-Dasarahalli,0.016,0.022,0.056,0.038,0.042
BBMP-East,0.041,0.022,0.06,0.043,0.047
BBMP-Mahadevpura,0.013,0.021,0.062,0.042,0.043
BBMP-RR-Nagar,0.019,0.023,0.092,0.043,0.062
BBMP-South,0.033,0.026,0.084,0.048,0.058
BBMP-West,0.032,0.029,0.08,0.047,0.062
BBMP-Yelahanka,0.019,0.022,0.057,0.039,0.043
Bagalkot,0.006,0.017,0.018,0.008,0.043
Ballari,0.01,0.025,0.057,0.015,0.056
Belgaum,0.013,0.025,0.032,0.012,0.046
Bengaluru-Rural,0.019,0.025,0.061,0.046,0.049
Rest of Bengaluru-Urban,0.018,0.024,0.045,0.03,0.042
Bidar,0.019,0.025,0.045,0.045,0.029
Chamarajanagar,0.02,0.022,0.033,0.018,0.064
Chikkaballapur,0.014,0.021,0.022,0.011,0.056
Chikmagalur,0.014,0.024,0.031,0.031,0.048
Chitradurga,0.021,0.024,0.039,0.017,0.04
Dakshina-Kannada,0.014,0.025,0.054,0.029,0.039
Davanagere,0.014,0.028,0.019,0.013,0.048
Dharwad,0.01,0.02,0.021,0.012,0.035
Gadag,0.007,0.016,0.011,0.005,0.031
Hassan,0.017,0.023,0.047,0.035,0.045
Haveri,0.01,0.019,0.01,0.009,0.041
Kalaburagi,0.008,0.026,0.06,0.042,0.037
Kodagu,0.021,0.024,0.045,0.025,0.078
Kolar,0.017,0.021,0.045,0.026,0.055
Koppal,0.015,0.016,0.007,0.01,0.052
Mandya,0.023,0.021,0.036,0.036,0.055
Mysuru,0.017,0.024,0.047,0.026,0.05
Raichur,0.01,0.022,0.017,0.017,0.063
Ramanagar,0.011,0.02,0.031,0.016,0.058
Shivamogga,0.009,0.021,0.021,0.019,0.041
Tumakuru,0.017,0.024,0.08,0.034,0.059
Udupi,0.011,0.025,0.07,0.034,0.039
Uttara-Kannada,0.012,0.021,0.027,0.013,0.047
Vijayapura,0.025,0.026,0.051,0.033,0.046
Yadgir,0.007,0.022,0.032,0.011,0.057